Step    Eng
250100 2.3181839673105
250200 2.82204896243783
250300 3.10655446804827
250400 3.11823084306488
250500 2.8724530527128
250600 2.28739283877189
250700 2.41834819866793
250800 2.74859153002463
250900 3.13660008109469
251000 3.17767149665229
251100 3.10900593023689
251200 3.1302249955695
251300 3.09823055256986
251400 2.50984238625635
251500 2.71642542490915
251600 2.49869377812558
251700 2.79708843828535
251800 3.3118069531729
251900 3.49964695316123
252000 3.1896741803692
252100 3.0036898453656
252200 2.85277654994105
252300 2.87729801000307
252400 2.44527897524446
252500 2.83067059958258
252600 2.61587337028539
252700 2.60193790433665
252800 2.68887690559985
252900 2.84835629104293
253000 2.62064880355363
253100 3.60747430052176
253200 3.23267004017247
253300 2.98141366785901
253400 3.00368104543992
253500 2.65984762997051
253600 2.75584765420544
253700 2.61328766175312
253800 2.61458090714001
253900 2.52132180526522
254000 2.17530025471284
254100 3.1400764863795
254200 3.20396048418714
254300 3.18447640993744
254400 3.26019536360818
254500 2.79199619798198
254600 2.76614950936078
254700 2.37916669628139
254800 2.67591784532519
254900 2.95600373573944
255000 3.30767551043864
255100 3.31736188388455
255200 3.18823463254455
255300 2.78750202386406
255400 2.3987746753309
255500 2.15003966399505
255600 2.84706855774572
255700 3.028789386563
255800 3.35477631059586
255900 3.20875986333058
256000 3.05732101193878
256100 2.68203006718023
256200 2.64728101068636
256300 2.77035319416066
256400 2.6681735849905
256500 2.82494330890311
256600 2.99825632620886
256700 3.15641251924348
256800 3.12658001005491
256900 2.13374224382919
257000 2.44181059371807
257100 2.8553228468515
257200 2.9318289611211
257300 2.87827424065411
257400 3.31450001346152
257500 3.35389266459571
257600 2.90538532871714
257700 2.76733748982083
257800 2.84822344024138
257900 2.59275868984192
258000 3.08032297163152
258100 3.23027125489986
258200 3.0484618354493
258300 3.25715869668415
258400 2.96383819121213
258500 2.46341508664697
258600 2.75847992495368
258700 2.49104951188241
258800 2.77666436560897
258900 2.80761654558238
259000 3.72408681269
259100 3.19265693822397
259200 2.89807118037853
259300 2.89105914139623
259400 2.35626754056047
259500 2.14701470942733
259600 2.63744140640338
259700 2.92351730852015
259800 3.25958114850326
259900 2.87320198001571
260000 2.78476992707282
260100 2.64818913898483
260200 2.51357919537962
260300 2.41924154794856
260400 3.30467443213912
260500 3.14617973691787
260600 3.15483334379953
260700 2.70209199852752
260800 2.34284524363037
260900 2.2321012803909
261000 2.66068617611959
261100 3.09973363630114
261200 3.23660685343019
261300 2.97112424228492
261400 3.31092881775027
261500 2.98984278348293
261600 2.91191627862135
261700 2.73143232426795
261800 2.33156018579369
261900 1.94343028198413
262000 2.58795604923986
262100 2.70773529203585
262200 2.58310776633493
262300 2.73746835144568
262400 3.22418788001711
262500 3.64596942637778
262600 2.8361417400722
262700 2.62401802484862
262800 2.68749624069322
262900 2.71716964965209
263000 3.55709712295082
263100 3.27301212259235
263200 3.01991574426139
263300 2.63488060970147
263400 2.3301452506703
263500 3.12268802698112
263600 3.26591091210923
263700 3.18409228124898
263800 3.02367407719449
263900 2.81077926375604
264000 2.52531275906801
264100 2.63115205990304
264200 2.85073139403935
264300 3.08990277026904
264400 2.87214285515952
264500 2.85786440602179
264600 2.97025210761547
264700 2.95105119399202
264800 3.38750851143525
264900 2.83012245300781
265000 2.70710546364969
265100 2.73484710182882
265200 2.85885950247418
265300 2.96229416257136
265400 3.26800260769864
265500 2.92094139298803
265600 3.26932053334852
265700 3.05644698307086
265800 2.98280524337064
265900 2.86251377392435
266000 2.45430082051435
266100 2.81815018106308
266200 2.87385632998199
266300 3.12195880528021
266400 2.87609643384829
266500 3.0310228139034
266600 2.89834200251116
266700 2.25361199568748
266800 2.49787490368651
266900 2.87278323411817
267000 3.09201778973509
267100 3.30110598965591
267200 2.61945529172156
267300 2.5527382143337
267400 2.89876959358541
267500 3.03327497986873
267600 3.05241171578894
267700 3.38621613116975
267800 2.85334708148454
267900 2.35835013891346
268000 2.80589725557535
268100 3.7660814568713
268200 3.0307984158205
268300 2.59298091103882
268400 2.58641633160017
268500 2.93091815687396
268600 3.66943988653592
268700 3.03715989493317
268800 2.83090040850862
268900 2.52058465714608
269000 2.86292023459655
269100 2.90655855225791
269200 2.50365065091186
269300 2.70919677066157
269400 2.63388902464532
269500 2.8395128891795
269600 2.50271273445888
269700 2.86972519999059
269800 2.67621922451953
269900 2.97001388773735
270000 3.40625161789872
270100 3.05167678552193
270100 3.05167678552193
270200 2.71082894855797
270300 3.03431902868945
270400 3.32324889000441
270500 3.67321984318688
270600 2.84463670831256
270700 2.81266654889179
270800 2.67944316089968
270900 2.92578988630218
271000 2.64909258474407
271100 2.821743458464
271200 2.97517450715147
271300 3.65210021323457
271400 3.112439805768
271500 2.98629351852233
271600 2.74661408195123
271700 2.71669389956713
271800 2.7342638201497
271900 2.87702147155104
272000 2.91553330500312
272100 2.99830507110868
272200 3.02890502088311
272300 3.03085453505896
272400 3.4226986431052
272500 4.31697719222457
272600 3.40643172712724
